SKU,SM
SMCO1900646,SPINAL NEEDLE 20G [BECTON DICKINSON (BD)]
SMCO1900709,DISPOVAN INSULIN SYRINGE 1ML U40 30GX 5/16 [HMD]
SMCO1900710,ABDOMINAL BELT XL 0603 [ROMSONS]
SMCO1900711,ABDOMINAL BELT XXL [MGRM]
SMCO1900712,MEDI NORM DIGITAL CLINICAL THERMOMETER [MEDI NORM]
SMCO1900713,RITECHECK DIGITAL THERMOMETER MT-402 [RITECHECK]
SMCO1900714,EASYTRODE ECG ELECTRODE 50S [EASYTRODE]
SMCO1900715,ECG ELECTRODE 3M [3M]
SMCO1900716,ECG ELECTRODES KENNY [ROMSONS]
SMCO1900718,MICROPORE 1/2 INTCH [3M]
SMCO1900719,ABDOMINAL BELT MEDIUM 0603 [MGRM]
SMCO1900720,ABDOMINAL BELT SMALL 0603 [MGRM]
SMCO1900721,ABDOMINAL BINDER LARGE 0601 [MGRM]
SMCO1900722,ABGEL ABSORBABLE GELATIN SPONGE REGULAR SIZE [SRI GOPAL KRISHNA]
SMCO1900723,ABSORBENT COTTON 150GM [JAYCOT INDUSTRIES]
SMCO1900724,ABSORBENT GAUZE BMT 90CMX16M [BMT MEDICAL DEVICES]
SMCO1900725,ABSORBENT GAUZE BMT 90CMX18M DELUXE GREEN [BMT MEDICAL DEVICES]
SMCO1900726,ACTIFIT SKIN RAZOR DISPOSABLE [ACTIFIT]
SMCO1900727,AEROMIST ADULT REF SH 2074 [ROMSONS]
SMCO1900728,AEROMIST CHILD [ROMSONS]
SMCO1900729,ALCO SWAB SS 6090 [ROMSONS]
SMCO1900730,BANDAGE CLOTH 3INTCH [RAMARAJU]
SMCO1900731,BD ALCOHOL SWAB REF 326900 [BECTON DICKINSON (BD)]
SMCO1900732,BD GLIDE ULTRA FINE INSULIN SYRINGE 1ML U-40 31GX6MM [BECTON DICKINSON (BD)]
SMCO1900733,NEOFLON 26G [391359] [BD]
SMCO1900734,BD SPINAL NEEDLE QUINCKE REF 405127 27G X 3.5 [BECTON DICKINSON (BD)]
SMCO1900735,BD WHITACRE NEEDLE 27G REF-405128 [BECTON DICKINSON (BD)]
SMCO1900736,BOUFFANT FEMALE CAPS [VENUS REMEDIES]
SMCO1900737,BREATHE EASY NEBULIZER
SMCO1900738,CENTISORB PNW 2180 DD [CENTENIAL SURGICAL SUTURE LTD]
SMCO1900739,CHEST DRAINAGE CATHETER FG 20 GS 5010 [ROMSONS]
SMCO1900740,CHEST DRAINAGE CATHETER FG 24 GS 5010 [ROMSONS]
SMCO1900741,CIDEX 5LITRE LIQUID [JOHNSON & JOHNSON]
SMCO1900742,CIDEX TEST STRIPS [JOHNSON & JOHNSON]
SMCO1900743,COMBINE SPINAL EPIDURAL SET [SMITHS MEDICAL]
SMCO1900744,DISPO FACE MASK 2PLY ROMSON [HMD]
SMCO1900745,DISPOSABLE FEMALE HEAD CAPS [Yvr Medivisions]
SMCO1900746,DISPOVAN NEEDLE 18GX1 [HMD]
SMCO1900747,DISPOVAN NEEDLE 18GX11 /2 [HMD]
SMCO1900748,DISPOVAN NEEDLE 20GX1 INCH [HMD]
SMCO1900749,DISPOVAN NEEDLE 22X1 [HMD]
SMCO1900750,DISPOVAN NEEDLE 23GX1 INCH [HMD]
SMCO1900751,DISPOVAN NEEDLE 24GX1 INCH [HMD]
SMCO1900752,DISPOVAN NEEDLE 26GX 1/2 [HMD]
SMCO1900753,DISPOVAN NEEDLE 26GX1 1/2 [HMD]
SMCO1900754,DISPOVAN NEEDLES 16GX11 /2 [HMD]
SMCO1900755,DISPOVAN SYRINGE 10ML 22GX1 1/4 [HMD]
SMCO1900756,DISPOVAN SYRINGE 10ML NEEDLE 21X1 1/2 [HMD]
SMCO1900757,DISPOVAN SYRINGE 20ML 22GX1 1/4 [HMD]
SMCO1900758,DISPOVAN SYRINGES 2ML 24GX1 NEEDLE [HMD]
SMCO1900759,DISPOVAN SYRINGES 5ML 24GX1 NEEDLE [HMD]
SMCO1900760,EASYFIX IV CANNULA FIXATOR MEDIUM [DYNAMIC TECHNO MEDICALS]
SMCO1900761,ENDOTRACHEAL TUBE CUFFED ID GS 2004 8.5 [ROMSONS]
SMCO1900762,ETHICON SUTUPAK 0 SW 214 [ETHICON]
SMCO1900763,ETHICON SUTUPAK 1 SW 215 [ETHICON]
SMCO1900764,ETHILON 2-0 3336 [ETHICON]
SMCO1900766,EXAMINATION GLOVES LARGE [OLCARE LAB]
SMCO1900767,EXAMINATION GLOVES MEDIUM [OLCARE LAB]
SMCO1900768,EXAMINATION GLOVES MEDIUM MEDI NORM [MEDI NORM]
SMCO1900769,E-ZEE LOAD TCU 380 A DEVICE
SMCO1900770,FEEDY INFANT FEEDING TUBE FG 05 GS 4038 [ROMSONS]
SMCO1900771,FEEDY INFANT FEEDING TUBE FG 06 GS4038 [ROMSONS]
SMCO1900772,FEEDY INFANT FEEDING TUBE FG 07 GS 4038 [ROMSONS]
SMCO1900773,FEEDY INFANT FEEDING TUBE FG 08 GS 4038 [ROMSONS]
SMCO1900774,FLEXI-MASK OXYGEN FACE MASK CHILD GS-2020 [ROMSONS]
SMCO1900775,FOLEY BALLOON CATHETER CH 08 REF180003 [ROMSONS]
SMCO1900776,FOLEY BALLOON CATHETER CH 14 REF180630 [ROMSONS]
SMCO1900777,FOLEY BALLOON CATHETER CH 16 REF180630 [ROMSONS]
SMCO1900778,FOLEY BALLOON CATHETER CH 18 REF180630 [ROMSONS]
SMCO1900779,FOLEY BALLOON CATHETER CH 20 REF180630 [ROMSONS]
SMCO1900780,GELSPON 80X50X10MM [EUCARE]
SMCO1900783,GUEDEL AIRWAYS SIZE 3 GS 2012 [ROMSONS]
SMCO1900784,GUEDEL AIRWAYS SIZE 4 GS 2012 [ROMSONS]
SMCO1900785,HAND CARE EVA DISPOSABLE GLOVES MEDIUM [HI CARE PLASTICS]
SMCO1900787,LARYNGAEL MASK 3 SOLUS [INTERSURGICAL]
SMCO1900788,LARYNGAEL MASK 4 SOLUS [INTERSURGICAL]
SMCO1900789,LARYNGEAL MASK 2.5 [INTERSURGICAL]
SMCO1900791,LOCKIT PLUS 18G DEVICE [SMITHS MEDICAL]
SMCO1900792,MEDI NORM CANNULA FIXATOR [MEDI NORM]
SMCO1900793,MEDPLUS ABSORBENT COTTON WOOL 125GM NET [MEDPLUS]
SMCO1900794,MEDPLUS ABSORBENT COTTON WOOL 30GM [MEDPLUS]
SMCO1900795,MEDPLUS ABSORBENT COTTON WOOL 400 GM NET [MEDPLUS]
SMCO1900796,MEDPLUS ABSORBENT COTTON WOOL 70GM NET [MEDPLUS]
SMCO1900797,MERSILK 3-0 NW5028 [ETHICON]
SMCO1900798,MERSUTURE 2-0 NW4241 [ETHICON]
SMCO1900799,MERSUTURE 0 NW4279 [ETHICON]
SMCO1900800,MERSUTURE 1 NW4259 [ETHICON]
SMCO1900801,MERSUTURE 3-0 NW4237 [ETHICON]
SMCO1900802,MONOCRYL PLUS 3-0 3326G [ETHICON]
SMCO1900804,NASOPHARYNGEAL AIRWAY SIZE-6 [SMITHS MEDICAL]
SMCO1900807,ONE TOUCH ULTRA SOFT LANCETS 25S [ONE TOUCH]
SMCO1900808,OXY SET TWIN BORE NASAL OXYGEN SET ADULT SH 2016 [ROMSONS]
SMCO1901219,OXY SET NEO [ROMSONS]
SMCO1900809,PETAL EVA DISPOSABLE GLOVES SIZE-M [IPBP MEDICAL PRODUCTS]
SMCO1900810,E T POLAR PREFORMED TRACHEAL TUBE NO 4.5 [PORTEX]
SMCO1900811,E T TRACHEAL TUBE 2 [PORTEX]
SMCO1900812,E T TRACHEAL TUBE 2.5 [PORTEX]
SMCO1900813,E T TRACHEAL TUBE 3.5 [PORTEX]
SMCO1900814,E T TRACHEAL TUBE 5.5 [PORTEX]
SMCO1900815,E T TRACHEAL TUBE 7 [PORTEX]
SMCO1900816,E T TRACHEAL TUBE 7.5 [PORTEX]
SMCO1900817,E T TRACHEAL TUBE 8 [PORTEX]
SMCO1900818,E T TRACHEAL TUBE 3 REF 100/141/030 [PORTEX]
SMCO1900819,E T TRACHEAL TUBE 4 REF 100/141/040 [PORTEX]
SMCO1900820,PROLENE 1 NW 843 [ETHICON]
SMCO1900821,PROLENE 1 NW 883 [ETHICON]
SMCO1900822,PROLENE NW 840  1 [ETHICON]
SMCO1900823,RAPID MULTI ENZYME CLEANER 1LTR [3M]
SMCO1900824,READY AID MEDICATED PLASTER 100S GENERAL [READY AID]
SMCO1900826,RMS BLOOD ADMINISTRATION SET [ROMSONS]
SMCO1900827,RMS INFUSION SET 21G SS 3062 [ROMSONS]
SMCO1900828,ROMO VAC SET-CLOSE WOUND SUCTION SET FG 16 GS 5002 [ROMSONS]
SMCO1900831,VACCUSUCK 2-5M GS 5016S [ROMSONS]
SMCO1900832,SCALP VEIN SET NO 22 [ROMSONS]
SMCO1900834,STERI STRIP 12MM X 100MM R1547 [3M]
SMCO1900835,STERIZONE ST 91 [DYNAMIC TECHNO MEDICALS]
SMCO1900836,SUCTION CATHETER PLAIN FG 06 GS 2006 [ROMSONS]
SMCO1900837,SUCTION CATHETER PLAIN FG 08 GS 2006 [ROMSONS]
SMCO1900838,SURGEN CAP [MEDIVIK]
SMCO1900839,SURGI FIX IV CANULA FIXER [APS SURGICALS]
SMCO1900840,SURGICARE STERILE SURGICAL POWDERED GLOVES SIZE 6 [KANAM LATEX]
SMCO1900841,SURGICARE STERILE SURGICAL POWDERED GLOVES SIZE 6.5 [KANAM LATEX]
SMCO1900843,SURGICARE STERILE SURGICAL POWDERED GLOVES SIZE 8 [KANAM LATEX]
SMCO1900844,SUTUPAK NO 0 SW 214 [ETHICON]
SMCO1900845,TEGADERM 1610 [3M]
SMCO1900846,TEGADERM HP PLUS PAD REF-8582IN [3M]
SMCO1900847,TEGADERM HP PLUS PAD REF-8591IN [3M]
SMCO1900849,TRUGLYDE NO1  SN2347 [HEALTHIUM]
SMCO1900852,ULTRASOUND TRANSMISSION 5KG GEL [ROMSONS]
SMCO1900853,URINE BAG PEDIATRIC [ROMSONS]
SMCO1900854,UROMETER URINE COLLECTING BAG 2000ML DB-1068 [ROMSONS]
SMCO1900855,VEIN-O-LINE 100CM [ROMSONS]
SMCO1900856,VEIN-O-LINE 10CM GS 3034 [ROMSONS]
SMCO1900857,VICRYL 0 NW 2518 [ETHICON]
SMCO1900858,VICRYL PLUS 1-0 VP2347 [ETHICON]
SMCO1900859,VICRYL PLUS 2-0 VP2317 [ETHICON]
SMCO1900991,ETHILON 1-0 NW3348 [ETHICON]
SMCO1901113,MERSILK 2-0 NW5331 [ETHICON]
SMCO1901121,MERSUTURE 1-0 NW4227 [ETHICON]
SMCO1901134,MONOCRYL 3-0 3326 [ETHICON]
SMCO1901361,RUSCH FOLEY BALLOON CATHETER-2WAY 12 FG [RUSCH]
SMCO1901473,VENFLON 22G [BD]
SMCO1901825,COTTON 400GMS [RAMARAJU]
SMCO1903026,ALCOHOL SWABS MANTRI 100S [MANTRI PHARMA]
SMCO1903027,BELLO HAND SANITIZER 120ML [BELLO]
SMCO1903028,CHROMIC NO 1 4259 [ETHICON]
SMCO1903029,CHROMIC NW 1 4259EP 76CM [ETHICON]
SMCO1903030,CLENZO ANTISEPTIC HANDWASH 250ML [CLENZO]
SMCO1903031,CLENZO HAND SANITIZER 100ML [CLENZO]
SMCO1903034,COCLEAN 19 HAND SANITIZER 100ML [COCLEAN]
SMCO1903035,ENDOTRACHEAL TUBE CUFFED 7.0 [SMITHS MEDICAL]
SMCO1903041,LIFEBUOY HAND SANITIZER 30ML [LIFEBUOY]
SMCO1903042,MICROWIN CHG HANDRUB 500ML [MICROWIN]
SMCO1903043,NASOPHARYNGEAL AIRWAY SIZE-8 [SMITHS MEDICAL]
SMCO1903044,TRUGUT SN 4242 SUTURES [HEALTHIUM]
SMCO1903045,VEIN-O-LINE 200CM [ROMSONS]
SMCO1903046,VICRYL PLUS 0 VP 2518 [ETHICON]
SMCO1903047,VIGGOFLON IV CANULLA G18 [VIGGO MEDICAL]
SMCO1903048,VIGGOFLON IV CANULLA G22 [VIGGO MEDICAL]
SMCO1903049,VIGGOFLON IV CANULLA G20 [VIGGO MEDICAL]
SMCO1903050,N95 MASK [HALYARD]
SMCO1903051,NANDI HAND SANITIZER 180ML [NANDI]
SMCO1903052,NEW MOM FIXATORS LARGE [DYNAMIC TECHNO MEDICALS]
SMCO1903053,NEW MOM MATERNITY PAD LARGE [DYNAMIC TECHNO MEDICALS]
SMCO1903054,UNDER PADS [DYNAMIC TECHNO MEDICALS]
SMCO1903056,NORMAL DELIVERY UNDER BUTTOCK DRAPE KIMBERLY CLARK [KIMBERLY CLARK]
SMCO1903057,ACCU-CHEK STRIPS (100 STRIPS IN EACH BOX) [ROCHE]
SMCO1903060,MOPS SURGICAL FOR OT [BMT MEDICAL DEVICES]
SMCO1903067,PATIENT GOWN
SMCO1903068,SURGEON GOWN
SMCO1903076,VAGINAL PROBE COVER [KRISCHCO MEDICAL PRODUCTS]
SMCO1903078,CAUTERY PENCILS ERBE [ERBE]
SMCO1903080,OT APRON STERILE DISPOSABLE [MEDIBLUE]
SMCO1903089,FOLEY SILICONE CATHETER NO 14 REF 170605 [TELEFLEX MEDICAL]
SMCO1903091,ACCUSURE DIGITAL THERMOMETER MT-32 [MICROGENE DIAGNOSTIC SYSTEMS]
SMCO1903092,ACETONE 400ML [AGRAWAL]
SMCO1903093,BANDAGE CLOTH 6INTCH [RAMARAJU]
SMCO1903094,ENDOTRACHEAL TUBE NO 6.5 [BECTON DICKINSON (BD)]
SMCO1903095,ENDOTRACHEAL TUBE CUFFED 6.0 [BECTON DICKINSON (BD)]
SMCO1903097,FOLEY BALLOON CATHETER CH 10 REF180003 [RUSCH]
SMCO1903098,HANSAPLAST PATCHES [HANSAPLAST]
SMCO1903099,HANSAPLAST SPOT 50S [HANSAPLAST]
SMCO1903100,GAUZE THAN 100CM X 18M [JOHNSON & JOHNSON]
SMCO1903101,HME FILTERS HEPA REF-50497100 [SMITHS MEDICAL]
SMCO1903103,KLIK CLAMP-VASCULAR CLAMP SH 5084 [ROMSONS]
SMCO1903106,SURGICAL BLADE  NO 11 [BECTON DICKINSON (BD)]
SMCO1903107,SURGICAL BLADE  NO 22 [BECTON DICKINSON (BD)]
SMCO1903108,SURGICAL BLADE  NO 15 [BECTON DICKINSON (BD)]
SMCO1903109,TOUNGE DEPRESSOR WOODEN [ROMSONS]
SMCO1903111,VICRYL RAPIDE 2-0 NW 2762 [ETHICON]
SMPH19083258,FORMALIN TAB
SMPH19083305,MICROSHIELD 747 HAND WASH 500ML [SCHULKE]
SMPH19073605,NASOWASH SACHET
SMPH19084844,DEXONA 4MG INJ
SMPH19079493,KETOADD TAB
SMPH19020716,LUPIVESTIN PLUS TAB
SMPH19019699,ZERODOL CR 200MG TAB
SMPH19084834,NUFLEX-MR TAB
SMPH19049633,DROTIN A TAB
SMPH19084840,ACEDEL-P TAB
SMPH19084791,ANACE SP TAB
SMPH19019608,ALTRADAY CAP
SMPH19084734,ANACE-T4 TAB
SMPH19072398,ELECTROLYTE P INJ 500 ML
SMPH19078341,LUMENAC CAP 600 MG
SMPH19062422,TRICHOTON FORTE TAB
SMPH19063186,TRICHOTON TAB
SMPH19050051,VERNACE TAB 500 MG
SMPH19012850,MODLIP ASG CAP
SMPH19014938,REVOSTAT GOLD CAP 10 MG
SMPH19012233,ROSUMAC GOLD CAP 10 MG
SMPH19012338,ROSUMAC GOLD CAP 20 MG
SMPH19012352,ROZAGOLD CAP 10 MG
SMPH19012833,ROZUCOR GOLD CAP 10 MG
SMPH19012703,ROZUCOR GOLD CAP 20 MG
SMPH19012291,PRAX A CAP 75MG
SMPH19015973,ROSUMAC ASP 150 MG CAP
SMPH19013041,ROSUMAC ASP 75 MG CAP
SMPH19019401,UNISTAR CAP 75MG
SMPH19002206,BENDEX 400MG TAB
SMPH19002126,ZEEBEE 200MG SUSP 
SMPH19002079,ZEEBEE TAB
SMPH19079523,ALFUSIN 10 MG TAB
SMPH19036705,KOJIVIT ULTRA GEL 30GM
SMPH19067531,APTIVATE SYP 200 ML
SMPH19084751,NEUROREX PLUS CAP
SMPH19084702,NEURLYCA TAB
SMPH19084738,BENFOGEN CAP
SMPH19084723,COBALFIT CAP
SMPH19084704,M-STRENGTH CAP
SMPH19000013,AMICIN INJ 500 MG 2 ML
SMPH19084812,ALCID MPS TAB
SMPH19000036,TAZOMAC 4.5 INJ
SMPH19061384,FOURTS B TAB
SMPH19000112,FORECOX TAB
SMPH19000239,ATM TAB 500 MG
SMPH19000268,MEROMAC INJ 0.5GM
SMPH19000291,LIZOMAC TAB 600 MG
SMPH19000298,REVOTAZ 4.5 INJ
SMPH19001977,MEGACLOX 500MG CAP
SMPH19000374,FARONEM TAB ER 300 MG
SMPH19000405,AMIJECT INJ 500 MG 2 ML
SMPH19036878,ACNELAK SOAP 75GM
SMPH19063726,ZESTOVIT CAP
SMPH19000471,TGKEM INJ 50 MG
SMPH19002482,FALCIGO SP TAB KIT
SMPH19000487,LIZOLID INJ 600 MG 300 ML
SMPH19000505,MICROTAZ INJ 500 MG/4G
SMPH19000508,MEROMAC PLUS INJ
SMPH19000546,MEROMAC INJ 125 MG 5 ML
SMPH19000603,AMICIN INJ 250 MG 2 ML
SMPH19000668,AMICIN 100MG INJ
SMPH19000681,ATM 200MG SUSPENSION
SMPH19000694,TAZOMAC 2.25GM INJ
SMPH19061664,BECOZINC G CAP
SMPH19000890,OFLOKEM TAB 200 MG
SMPH19000917,ATM 100MG SUSPENSION
SMPH19000928,CEGAVA 1.5GM INJ
SMPH19001044,L CIN INJ 500 MG 100 ML
SMPH19001150,TRUZOL 4.5 INJ
SMPH19001154,TAXIM-O DT 50MG TAB
SMPH19001472,NOVAMOX 250MG REDIUSE 30ML
SMPH19001498,AMPHOMUL 50 MG INJ
SMPH19001686,TIGEFIC INJ 50 MG
SMPH19001949,MAGTAM NOVO 1.5GM INJ
SMPH19002059,MICROPIME-T INJ
SMPH19002205,LINOSEPT INJ 600 MG 300 ML
SMPH19002238,CEFADROX 250ML SYP
SMPH19002302,MAXICEF INJ 1 G
SMPH19002366,PENIDURE LA INJ 600 K
SMPH19002408,REVOTAZ 2.25 INJ
SMPH19002463,AMIJECT INJ 250 MG 2 ML
SMPH19002778,AKURIT TAB 150 MG/75
SMPH19002808,HOPSTIN 1MIU INJ
SMPH19002934,VANSAFE CP 1GM INJ
SMPH19022620,MIGRANIL TAB
SMPH19003070,AMPITRUST 1.5G INJ
SMPH19003268,AMIJECT 100MG 2ML INJ
SMPH19003332,HOPSTIN FORTE 2MIU INJ
SMPH19003527,AMOXIL CAP 500 MG
SMPH19036915,SUNCOTE GEL 100 G
SMPH19036699,SUNCROS AQUAGEL SPF 26 100GM
SMPH19011267,RETEFUSE INJ KIT 18 MG
SMPH19011282,STYPTOVIT E TAB 500 MG
SMPH19011364,DESIROX 500MG TAB
SMPH19011376,TETRAFOL TAB 7.50 MG
SMPH19011379,SYLATE TAB 250 MG
SMPH19011492,DESIROX 250MG TAB
SMPH19084841,BIOFLEX FORTE TAB
SMPH19058052,FE PLUS TAB
SMPH19068699,DECOMIC EYE DROP 10 ML
SMPH19012090,BRILINTA TAB 90 MG
SMPH19012098,CONCOR TAB 2.50 MG COR
SMPH19012175,OLMESAR TAB 20 MG
SMPH19012179,TRIOLMESAR TAB 40 MG
SMPH19019562,SARIDON TAB
SMPH19012212,RANCAD TAB ER 500 MG
SMPH19012217,CIDMUS 100 MG TAB
SMPH19012223,NEXOVAS TAB 10 MG
SMPH19012236,PROLOMET R 50/5 MG TAB
SMPH19012238,OLMESAR TAB 40 MG
SMPH19020707,IDROFOS KIT TAB KIT
SMPH19067287,CALCIUM GLUCONATE 10% INJ 10 ML [/GEN]
SMPH19061388,NUROKIND GOLD CAP
SMPH19084710,CORSCHE PLUS TAB
SMPH19012377,RESODIM TAB 15 MG
SMPH19068812,DECOMIC PLUS EYE DROP 10 ML
SMPH19012388,TONACT TAB 80 MG
SMPH19012409,BEPARINE 25000IU INJ
SMPH19012428,DILNIP TAB 10 MG
SMPH19012457,CARDACE METRO 2.5 MG TAB
SMPH19012482,CARDACE METO TAB ER 50MG/5MG
SMPH19012509,TELPLUS TAB
SMPH19012510,TELLZY CH TAB 12.5 MG/80M
SMPH19012511,OLMESAR A TAB 20MG
SMPH19012560,OLMESAR CH 40 MG TAB
SMPH19084770,SAFEPODOX 200MG TAB
SMPH19012610,NOVASTAT CV 20MG TAB
SMPH19012646,TONACT TG TAB 160 MG/20
SMPH19012651,OLMESAR A TAB 40MG
SMPH19012656,NEXOVAS TAB 20 MG
SMPH19012700,NICODUCE TAB 5 MG
SMPH19012714,OLMESAR H 40MG TAB
SMPH19012720,NEBISTAR-H TAB
SMPH19012742,ROSUMAC CV 10 MG CAP
SMPH19012771,CARCA TAB CR 10 MG
SMPH19012780,METOCARD AM TAB
SMPH19012800,ROSUMAC F 10 TAB
SMPH19012860,ZILARBI TAB 40 MG
SMPH19012900,ENOXATROY 40 MG INJ
SMPH19012901,IVABEAT TAB 5 MG
SMPH19012907,PRASUDOC TAB 10 MG
SMPH19012910,ANOVATE OINT 20GM
SMPH19073339,CHESTON COLD SYP 60 ML
SMPH19084792,INTAZIN LD TAB
SMPH19084785,SENZCLOR H EYE OINT
SMPH19012972,NEXOVAS TAB 5 MG
SMPH19013002,RAMISTAR TAB 1.25 MG
SMPH19013029,TELISTA TAB 20 MG
SMPH19013051,OLMESAR M 50 MG TAB
SMPH19013057,CARCA TAB CR 20 MG
SMPH19013061,TORGET PLUS TAB
SMPH19084742,OROGARD MOUTH WASH 100ML
SMPH19013064,STARPRESS R XL TAB 5 MG/50
SMPH19013085,OLMESAR CH 20 MG TAB
SMPH19013145,ENOXION PREFILL.SYR. 40 MG 0.4 ML
SMPH19013155,DABIGAT CAP 110 MG
SMPH19013176,STARPRESS XL R 25/2.5 TAB
SMPH19013282,OLMESAR H 20MG TAB
SMPH19013318,DABIGAT CAP 150 MG
SMPH19013370,METOCARD XL 100MG TAB
SMPH19013477,LUPIFLO 15LAKHS INJ
SMPH19013538,OLMESAR M TAB 25MG
SMPH19013575,STARPRESS XL TAB ER 100 MG
SMPH19013681,TOLSAMA TAB 15 MG
SMPH19013687,LIPVAS TAB 40 MG
SMPH19013782,TORGET TAB 10 MG
SMPH19013893,ENOXION 0.6ML INJ
SMPH19013918,ZILAST TAB 100 MG
SMPH19013929,BENIDIN TAB 4 MG
SMPH19013941,TACHYRA TAB 200 MG
SMPH19013976,TICAFLO TAB 90 MG
SMPH19014082,HIPRES TAB 50 MG
SMPH19014141,ZILAST TAB 50 MG
SMPH19014189,TORGET TAB 20 MG
SMPH19014212,TWINCAL TAB 20 MG
SMPH19014214,TORGET PLUS 20 MG TAB
SMPH19014227,RAMISTAR H CAP 12.5 MG/2.5
SMPH19014431,DABIGAT CAP 75 MG
SMPH19014472,TORGET TAB 40 MG
SMPH19014486,TWINCAL TAB 5 MG
SMPH19014510,TACHYRA TAB 100 MG
SMPH19014561,CETANIL T TAB
SMPH19014608,ITEL TAB 50 MG
SMPH19014688,TORGET TAB 100 MG
SMPH19014911,RESODIM TAB 30 MG
SMPH19015780,DILVAS 5MG TAB
SMPH19016097,TOLSAMA TAB 30 MG
SMPH19016740,DILVAS TAB 2.50 MG
SMPH19017052,ANOSUM CREAM 20 G
SMPH19019309,STAMLO TAB 5 MG
SMPH19019611,FEBURIC TAB 40 MG
SMPH19019616,VOLINI SPRAY 15GM
SMPH19019646,LEVEPSY TAB 500 MG
SMPH19064535,MULTIDEC DROP 15 ML
SMPH19019770,LEFNO TAB 20 MG
SMPH19073219,ASCORIL D COUGH SYP 100 ML
SMPH19084725,NUCERIN GM TAB
SMPH19019838,BIO D3 CAP 0.25MCG
SMPH19019851,DOLO 1GM INJ 100ML
SMPH19019922,GABANTIN CAP 100 MG
SMPH19061529,B-FIT CD TAB
SMPH19020005,CALDIKIND CAP
SMPH19020059,CITIMAC-P TAB
SMPH19020060,MOBISWIFT D TAB
SMPH19020232,SULPITAC TAB 200 MG
SMPH19020299,ZY Q TAB 200 MG
SMPH19084716,F-CHEL 20 TAB
SMPH19020339,TRAMASURE INJ 2ML
SMPH19020343,MIRTAZ TAB 30 MG
SMPH19020441,SIZOPIN TAB 200 MG
SMPH19045430,ALDONIL PLUS TAB
SMPH19011303,REPOITIN INJ 4000 IU 1 ML
SMPH19020547,QUTIPIN TAB 200 MG
SMPH19020582,LONAZEP TAB 1 MG
SMPH19020591,EPILIVE TAB 750 MG
SMPH19020614,LIOFEN XL 30MG CAP
SMPH19020622,STROCIT 1GM INJ 4ML
SMPH19020625,ETIZOLA BETA 0.5MG TAB
SMPH19020665,ROPARK TAB 2 MG
SMPH19020708,HQTOR TAB 200 MG
SMPH19020802,CITIMAC TAB 500 MG
SMPH19020822,OXCARB TAB 300 MG
SMPH19020829,QUTIPIN 200 MG TAB SR
SMPH19020875,PARI-CR PLUS TAB
SMPH19020905,ETIZOLA BETA 0.25MG TAB
SMPH19084745,OCULUBE ULTRA EYE DROPS
SMPH19020994,LEVEPSY TAB 250 MG
SMPH19021021,SERAX FORTE TAB
SMPH19021109,TOLAZ LA 405MG  INJ
SMPH19021188,ZEPTOL TAB 200 MG
SMPH19021242,ULTRA PLUS TAB
SMPH19021256,TRIKA TAB 1 MG
SMPH19021343,SPECTRA CAP 25 MG
SMPH19021532,PEXEP PLUS 25MG CAP
SMPH19021539,SERAX D TAB
SMPH19021555,GABAWIN TAB 50 MG
SMPH19021618,DAXID TAB 25MG
SMPH19021787,MIGON PLUS TAB
SMPH19021788,OXCQ TAB 400 MG
SMPH19021937,CLOBAKEM TAB 10 MG
SMPH19022061,LURAFIC TAB 40 MG
SMPH19022347,LURAMAX TAB 80 MG
SMPH19022367,LURATA TAB 40 MG
SMPH19022673,ARTHOCERIN G TAB
SMPH19068651,FML NEO 5 ML DROPS
SMPH19022710,GABARICH TAB 150MG
SMPH19022797,OXCARB TAB 150 MG
SMPH19022878,CLOBAKEM TAB 5 MG
SMPH19023175,REACTIN TAB 50 MG
SMPH19023190,RISCON LS TAB
SMPH19023281,RISCON PLUS TAB
SMPH19023697,MEZOLAM 5MG INJ 1ML
SMPH19023762,SUPAMOVE CREAM 30GM
SMPH19023948,RISCON FORTE TAB
SMPH19024175,DON LS TAB
SMPH19024640,ZEPTOL TAB 100 MG
SMPH19024811,DON PLUS TAB
SMPH19024969,FLUTOP TAB 40 MG
SMPH19025076,GABARICH TAB 100MG
SMPH19026017,COBIX CAP 200 MG
SMPH19026022,LUBRIJOINT TAB 750 MG
SMPH19026105,ARPIT TAB 10 MG
SMPH19026257,DON TAB 1 MG
SMPH19084826,HBPRIME TAB
SMPH19026459,ARPIT TAB 30 MG
SMPH19027541,GABARICH 300MG TAB
SMPH19030822,ARPIT TAB 5 MG
SMPH19031669,LOX JELLY 2% 10GM
SMPH19060749,LIVODOX PLUS TAB
SMPH19034517,VOLINI SPRAY 55GM
SMPH19035367,LETERO TAB 2.50 MG
SMPH19035470,CYCLOXAN 1GM INJ
SMPH19035653,CYCLOXAN 500MG INJ
SMPH19035669,5 FLUCEL 250 MG INJ
SMPH19036020,MYCOSAN M TAB 500 MG
SMPH19036028,TACROSAN CAP 1MG
SMPH19036123,TACROSAN CAP 2MG
SMPH19036469,FLUTIVATE 0.05% CREAM 10GM
SMPH19036492,KETO SOAP 2% 50GM
SMPH19036497,PROPYSALIC NF OINT 30GM
SMPH19036499,GRIS ODT TAB 250 MG
SMPH19036501,ONABET 2% CREAM 30GM
SMPH19036513,TENOVATE 0.05% OINT 15GM
SMPH19036549,KETO 2% SOAP 100GM
SMPH19036620,TACROZ FORTE 0.10% OINT 20GM
